GEOID,median_household_income,rent_burden_35_plus_share,renter_occupied_units,total_housing_units,unemployment_rate_proxy,median_gross_rent,poverty.rate,depression_among_adults,fair_poor_health_status,frequent_mental_distress,high_eviction_risk
01001020100,60563,0.287292817679558,181,733,0.0259562841530054,725,5.12,26.6,22.5,17.9,0
01001020200,57460,0.1913043478260869,115,680,0.0554951033732317,873,20.05,23.3,25.1,18.5,0
01001020300,77371,0.2111959287531806,393,1431,0.0185289163391353,855,7.36,26.3,23.7,18.6,1
01001020400,73191,0.0222222222222222,360,1722,0.0091693635382955,1024,1.43,24.9,19.5,15.8,0
01001020600,64904,0.0823529411764705,255,1551,0.0316586373021335,950,5.58,25.9,22.7,17.9,0
01001020700,58155,0.2585365853658536,410,1507,0.0118032786885245,1344,21.82,27.5,24.3,19.5,0
01001020801,87237,0.0,186,1201,0.0307210031347962,881,11.09,25.7,19.4,16.4,0
01001021000,35761,0.4842767295597484,159,1410,0.0432190760059612,742,7.83,27.5,27.7,19.5,0
01001021100,32025,0.0463917525773195,194,1728,0.0761460761460761,466,20.1,24.4,33.2,19.3,0
01003010100,54156,0.1059602649006622,151,1989,0.0631510416666666,758,12.64,23.8,26.9,17.7,0
01003010200,50368,0.1647727272727272,352,1374,0.021505376344086,922,27.26,24.3,20.8,17.2,1
01003010300,75905,0.0,299,3322,0.0295885344429033,944,5.46,23.0,21.9,16.7,0
01003010400,55697,0.1741071428571428,224,2363,0.0208087946603847,1236,11.13,25.2,26.7,18.5,1
01003010500,58026,0.0685279187817258,394,2006,0.0291304347826086,671,14.05,23.6,23.3,17.3,0
01003010600,22780,0.5329341317365269,501,1559,0.1182598039215686,777,14.88,25.0,39.5,22.4,1
01003010704,78798,0.3455284552845528,246,2008,0.023415421881308,1742,2.32,22.5,14.5,14.5,0
01003010800,62826,0.1666666666666666,996,3346,0.0228622327790973,1321,12.12,21.0,17.2,13.9,0
01003010903,70284,0.2007366482504604,543,2450,0.0218096080165045,1162,14.13,23.5,21.4,17.4,1
01003010904,63517,0.0,439,3187,0.0267884322678843,1114,10.02,24.0,20.6,16.3,0
01003010906,51611,0.1407035175879397,398,1891,0.023232822540781,778,7.39,25.3,27.1,18.7,1
01003011000,54417,0.3596837944664031,253,2323,0.0764044943820224,909,21.41,24.8,26.7,17.8,0
01003011102,84493,0.2757009345794392,214,2473,0.0246523388116308,983,9.97,22.8,16.3,14.6,1
01003011201,70368,0.410981697171381,601,2404,0.0434124179707218,1745,9.4,21.0,17.0,12.6,0
01003011202,73547,0.4744645799011532,607,3141,0.0685598377281947,1632,10.2,20.5,17.1,12.6,0
01003011300,88121,0.0,261,2818,0.0054699154649428,-666666666,9.41,21.5,17.4,13.2,0
01003011501,58500,0.2768924302788844,502,3568,0.0939553219448094,921,8.0,22.2,21.7,15.1,1
01003011601,54439,0.1522491349480969,578,3502,0.0420979986197377,956,17.57,24.4,22.7,16.9,1
01003990000,-666666666,0.1923076923076923,0,0,0.0426874536005939,-666666666,0.0,23.2,19.4,16.95,0
01005950100,57578,0.046979865771812,149,1414,0.146551724137931,1111,17.45,21.7,31.1,17.6,0
01005950200,38589,0.1652421652421652,351,1199,0.0141342756183745,704,17.26,19.8,30.6,18.3,0
01005950300,33864,0.0437158469945355,183,884,0.0229357798165137,752,21.27,21.6,32.2,17.2,0
01005950400,38261,0.1272727272727272,385,1543,0.0497335701598579,452,14.26,21.6,34.9,19.2,0
01005950500,54891,0.0,94,1957,0.0631067961165048,635,18.98,23.0,25.2,16.7,0
01005950600,38393,0.3099630996309963,271,786,0.0417633410672853,660,29.39,24.5,31.6,20.1,0
01005950700,52381,0.2887029288702928,239,719,0.0379918588873812,661,28.64,21.0,29.5,16.7,0
01005950800,32167,0.2536082474226804,485,1170,0.084393063583815,699,11.63,23.1,29.3,18.2,0
01005950900,28632,0.0579420579420579,1001,2001,0.0407523510971786,557,21.36,24.3,35.9,21.2,0
01007010001,39671,0.0566037735849056,159,1090,0.0211111111111111,331,6.74,26.0,28.0,19.4,0
01009050200,58466,0.0,225,1604,0.0453597497393117,958,10.95,24.4,23.4,17.5,0
01009050400,59722,0.1952191235059761,251,1890,0.0811380400421496,677,18.08,25.1,22.3,17.6,0
01009050601,70625,0.0,152,1578,0.0455069124423963,1042,11.98,26.1,22.1,18.3,0
01011952100,42092,0.0,201,731,0.0570175438596491,479,21.9,20.0,39.1,19.3,0
01011952500,58409,0.1621621621621621,259,1217,0.0,576,23.69,21.5,31.4,17.8,0
01013952700,53158,0.2268292682926829,410,1152,0.0736263736263736,707,17.38,22.8,32.4,19.3,0
01013952800,77250,0.0655737704918032,61,664,0.0591216216216216,885,9.18,21.7,19.9,15.7,0
01013952900,49784,0.1295681063122923,301,905,0.1246138002059732,980,27.67,20.7,24.9,16.6,0
01013953000,41364,0.3,110,691,0.0,817,19.13,22.8,27.5,18.4,0
01013953100,29911,0.3586698337292161,421,1406,0.0257611241217798,684,40.41,22.3,33.9,20.9,1
01013953200,49037,0.1220238095238095,336,1861,0.0359348680516563,774,14.43,22.6,26.0,17.4,0
01013953300,42375,0.4102564102564102,78,882,0.1264667535853976,773,12.26,25.2,30.5,18.3,0
01013953400,35224,0.2734375,256,1466,0.1273408239700374,604,19.3,22.8,34.6,19.5,0
01013953500,43508,0.081081081081081,111,808,0.0108303249097472,525,22.29,24.3,27.2,18.2,0
01015000200,37324,0.2473958333333333,384,1535,0.0550847457627118,1037,28.99,22.9,30.0,19.1,1
01015000300,27995,0.3061224489795918,539,1558,0.0517063081695966,740,56.99,22.1,41.0,21.1,1
01015000400,33384,0.5613577023498695,383,1554,0.0853080568720379,671,23.02,22.7,39.0,20.1,0
01015000500,21648,0.2480620155038759,129,858,0.2564935064935065,719,53.95,20.7,44.7,20.5,1
01015000600,15000,0.5839793281653747,387,1016,0.1072874493927125,455,60.53,24.6,40.9,24.2,1
01015000700,38580,0.1788079470198675,755,1402,0.0449735449735449,696,28.39,24.7,32.4,20.7,1
01015000800,31667,0.3132911392405063,316,675,0.1176470588235294,689,25.94,29.3,35.8,23.9,0
01015000900,82319,0.1769436997319035,373,1877,0.0434304562946674,928,21.67,20.7,19.1,13.0,0
01015001000,75806,0.1235955056179775,890,2795,0.0186625194401244,848,7.29,21.2,19.0,14.6,0
01015001201,41777,0.1055555555555555,360,1502,0.0591032608695652,789,22.41,22.7,27.7,17.2,1
